# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
100000.0,170,-0.22487810076079,0.0,2.033510288740683,1.9942101644228956
149494.94949494948,170,-0.33727232745688007,0.0,2.0246017060573047,1.984868087105498
198989.898989899,170,-0.45096647924178124,0.0,2.012819132741579,1.972774518839694
248484.8484848485,170,-0.5663987595147184,0.0,1.998822740262594,1.9585792358319696
297979.797979798,170,-0.6840140708217055,0.0,1.9833029780798728,1.9429585688418824
347474.7474747475,170,-0.8042657296122386,0.0,1.9669148128761447,1.9265514350366884
396969.696969697,170,-0.9276172134251124,0.0,1.9502321422346895,1.9099153299599863
446464.6464646465,170,-1.0545439472374045,0.0,1.933723737990932,1.8935034701543079
495959.595959596,170,-1.18553513586164,0.0,1.9177473775117604,1.8776597017114778
545454.5454545454,170,-1.3210956494536064,0.0,1.9025567171054436,1.8626257717117014
594949.494949495,170,-1.4617479693980024,0.0,1.8883154179124237,1.8485555586043927
644444.4444444445,170,-1.6080342020718135,0.0,1.8751141268173999,1.8355319586433558
693939.393939394,170,-1.7605181682469195,0.0,1.8629873462065387,1.8235835452994875
743434.3434343435,170,-1.9197875761849703,0.0,1.8519285165406356,1.8126993889029794
792929.292929293,170,-2.0864562868001406,0.0,1.8419025920919174,1.8028413597876196
842424.2424242424,170,-2.261166679620221,0.0,1.8328560007583583,1.7939538317384254
891919.191919192,170,-2.444592128665001,0.0,1.8247242128369137,1.7859710239457793
941414.1414141415,170,-2.637439597784544,0.0,1.8174372881887169,1.7788223558263008
990909.0909090909,170,-2.8404523654604055,0.0,1.8109238015006373,1.7724362142443089
1040404.0404040405,170,-3.054412889571773,0.0,1.8051135155269509,1.7667425000940657
1089898.98989899,170,-3.280145823168022,0.0,1.799939116880314,1.761674264670795
1139393.9393939395,170,-3.5185211928711575,0.0,1.7953372679608384,1.7571686849898904
1188888.888888889,170,-3.7704577521584293,0.0,1.7912491719856933,1.7531675708121497
1238383.8383838385,170,-4.036926522449462,0.0,1.7876207999201301,1.7496175484418848
1287878.787878788,170,-4.318954535646031,0.0,1.7844028892867523,1.746470028096243
1337373.7373737374,170,-4.617628792549143,0.0,1.7815507946407951,1.743681032005728
1386868.686868687,170,-4.934100452410008,0.0,1.779024246623758,1.741210938031597
1436363.6363636365,170,-5.26958926976246,0.0,1.7767870595095454,1.7390241770209913
1485858.585858586,170,-5.625388295637338,0.0,1.774806814721138,1.737088910046857
1535353.5353535356,170,-6.0028688612784356,0.0,1.7730545388156347,1.7353767029958251
1584848.4848484849,170,-6.403485863568383,0.0,1.7715043880271129,1.733862209796696
1634343.4343434344,170,-6.828783372535723,0.0,1.7701333469360767,1.7325228712502851
1683838.383838384,170,-7.280400582555765,0.0,1.7689209456843278,1.7313386334195622
1733333.3333333335,170,-7.760078130182563,0.0,1.7678489979903325,1.7302916874905772
1782828.282828283,170,-8.269664802962374,0.0,1.7669013607601989,1.729366231643841
1832323.2323232323,170,-8.811124665085902,0.0,1.7660637151278484,1.7285482545826518
