# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 1, 'omega_out': 1086.9910581420684, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
f,v,u0
0.0,0.0,0.0
5.05050505050505,2.014663156736334e-100,0.041669364267034395
10.1010101010101,6.116141234247776e-78,0.056476640515157314
15.15151515151515,7.813208625225621e-65,0.06443810924462676
20.2020202020202,1.3935648996640126e-55,0.06738012045212509
25.25252525252525,1.8644523111184132e-48,0.06631285666856306
30.3030303030303,1.1034944870901177e-42,0.06215708363249335
35.35353535353535,7.445295077742759e-38,0.055841569383818436
40.4040404040404,1.007570447687828e-33,0.0482656880323956
45.454545454545446,3.9375996634749546e-30,0.040233794846063375
50.5050505050505,5.699324670534666e-27,0.03239942468029477
55.55555555555555,3.6486739681310346e-24,0.02523437303266806
60.6060606060606,1.177829979049887e-21,0.01902554028858568
65.65656565656565,2.1178184249369936e-19,0.01389503269590579
70.7070707070707,2.291664780424667e-17,0.009835235369313076
75.75757575757575,1.5867325895985542e-15,0.006749794236531954
80.8080808080808,7.386143778341383e-14,0.004492834094900543
85.85858585858585,2.406883627870994e-12,0.002901293460878162
90.90909090909089,5.6775828152005e-11,0.001818032240697903
95.95959595959594,9.970777784705404e-10,0.0011056854125175285
101.010101010101,1.3349386891750533e-08,0.0006527555157692722
106.06060606060605,1.3904643635088862e-07,0.0003741254864532417
111.1111111111111,1.1465563534049532e-06,0.00020820080482056744
116.16161616161614,7.59851177055615e-06,0.00011250963601488888
121.2121212121212,4.1009247250752756e-05,5.904423258444512e-05
126.26262626262626,0.0001823377417909954,3.0093953618124673e-05
131.3131313131313,0.0006747504512949459,1.489788508836618e-05
136.36363636363635,0.002097056612440147,7.163740624397336e-06
141.4141414141414,0.005517943394585019,3.3461725580053846e-06
146.46464646464645,0.012381567860379899,1.5183468219572491e-06
151.5151515151515,0.02384613526489548,6.693089048543402e-07
156.56565656565655,0.03964972778092222,2.8663692381410056e-07
161.6161616161616,0.057218510862858354,1.19262225679616e-07
166.66666666666666,0.07200944495291463,4.821174443264502e-08
171.7171717171717,0.0793770290422197,1.893627757575775e-08
176.76767676767676,0.07694557765016243,7.226695786091465e-09
181.81818181818178,0.06583253820861722,2.679778641895778e-09
186.86868686868686,0.04987926316248462,9.655655778406539e-10
191.9191919191919,0.03357066590790069,3.380627147401964e-10
196.96969696969697,0.020127697605448233,1.150147831780381e-10
202.020202020202,0.010778602510116924,3.802406678566843e-11
207.07070707070707,0.005167976903021236,1.221571875627699e-11
212.1212121212121,0.0022235537827445034,3.8136566699267836e-12
217.17171717171715,0.0008603076054356247,1.1569973041320839e-12
222.2222222222222,0.00029990675084258717,3.411119633867051e-13
227.27272727272725,9.437028179114042e-05,9.773287737753769e-14
232.32323232323228,2.684966424688176e-05,2.7212502448492563e-14
237.37373737373736,6.918110679606878e-06,7.36351122146465e-15
242.4242424242424,1.6166947198880646e-06,1.9363970981355574e-15
247.47474747474746,3.4313673462311656e-07,4.948811895645413e-16
252.5252525252525,6.623310560727783e-08,1.2291597560227096e-16
257.57575757575756,1.1640935910861347e-08,2.967017883137294e-17
262.6262626262626,1.8651358829562545e-09,6.960490016989507e-18
267.67676767676767,2.727212172143654e-10,1.5869763942069845e-18
272.7272727272727,3.643028900477955e-11,3.5165364429908673e-19
277.77777777777777,4.450063206402235e-12,7.573151058874704e-20
282.8282828282828,4.975437692775734e-13,1.5851035636395328e-20
287.8787878787878,5.096104207772826e-14,3.2244877573588994e-21
292.9292929292929,4.785724610443431e-15,6.375119041213347e-22
297.9797979797979,4.1238372248617006e-16,1.2250184418377567e-22
303.030303030303,3.263055773574398e-17,2.2878412541361394e-23
308.080808080808,2.3726042868878557e-18,4.1527916404727426e-24
313.1313131313131,1.5863446835976162e-19,7.326344783074455e-25
318.18181818181813,9.759346655745154e-21,1.256230660259611e-25
323.2323232323232,5.527912669926483e-22,2.0935726137528658e-26
328.2828282828283,2.884514710777311e-23,3.3911341404174195e-27
333.3333333333333,1.3873875162310171e-24,5.338777598747389e-28
338.38383838383834,6.154143216508537e-26,8.169211794583097e-29
343.4343434343434,2.5188556327241884e-27,1.2149584475384957e-29
348.48484848484844,9.517353566063228e-29,1.7562528823314127e-30
353.5353535353535,3.3213040919356236e-30,2.4675069371959083e-31
358.58585858585855,1.0709624458352477e-31,3.3695873264262905e-32
363.63636363636357,3.192262063348071e-33,4.472427312437986e-33
368.68686868686865,8.799527951631821e-35,5.769780553145403e-34
373.73737373737373,2.2440232299772462e-36,7.234789004155577e-35
378.7878787878787,5.296221960871129e-38,8.817472377500644e-36
383.8383838383838,1.157265693068106e-39,1.0445159114456927e-36
388.88888888888886,2.3419579928902214e-41,1.2026513305472643e-37
393.93939393939394,4.390858551499221e-43,1.3459195643055682e-38
398.9898989898989,7.629283778171185e-45,1.4640439130658306e-39
404.040404040404,1.2288997353155221e-46,1.5479097142824106e-40
409.09090909090907,1.8355949986389836e-48,1.5907229176290964e-41
414.14141414141415,2.543253355454298e-50,1.5889186871609854e-42
419.19191919191917,3.269450845088794e-52,1.5426515237193497e-43
424.2424242424242,3.900750654002021e-54,1.4557734370177418e-44
429.2929292929293,4.320374706075415e-56,1.3353044416480376e-45
434.3434343434343,4.4432650897110015e-58,1.1904963306120216e-46
439.3939393939394,4.24418806640068e-60,1.0316628413224147e-47
444.4444444444444,3.7661623388369363e-62,8.689807306589575e-49
449.4949494949494,3.105363925497526e-64,7.114522928299121e-50
454.5454545454545,2.379736106001871e-66,5.661680091498389e-51
459.5959595959596,1.6952688969474751e-68,4.379347230282932e-52
464.64646464646455,1.1228702675675683e-70,3.2925966607622566e-53
469.69696969696963,6.916503743735005e-73,2.406209020906841e-54
474.7474747474747,3.9627057525903416e-75,1.7092058928891997e-55
479.7979797979798,2.1121498716321873e-77,1.180109094705784e-56
484.8484848484848,1.0475200815081156e-79,7.919854316209292e-58
489.89898989898984,4.8348091244531486e-82,5.166304347668129e-59
494.9494949494949,2.077054972091048e-84,3.275752059534228e-60
499.99999999999994,8.306890016455845e-87,2.0188812237885055e-61
