# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 1, 'omega_out': 1086.9910581420684, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wOut,wIn
-9.797979797979798,-3.737373737373738,2.0270904311002785e-07,1.770236622090783e-42
-9.797979797979798,-3.5353535353535355,6.312301855905716e-07,7.384860929188535e-42
-9.797979797979798,-3.333333333333333,1.812065289955759e-06,2.8442386891512243e-41
-9.797979797979798,-3.1313131313131315,4.8218885779015555e-06,1.0114300451805128e-40
-9.797979797979798,-2.929292929292929,1.1942237459226668e-05,3.3211198635543496e-40
-9.797979797979798,-2.7272727272727275,2.7613746414369882e-05,1.0070340884067944e-39
-9.797979797979798,-2.525252525252525,5.975614169886035e-05,2.819978476920246e-39
-9.797979797979798,-2.3232323232323235,0.00012125082353520747,7.293220494041712e-39
-9.797979797979798,-2.121212121212121,0.0002310438409328243,1.74218152224281e-38
-9.797979797979798,-1.9191919191919187,0.00041394963737835305,3.8441029627886805e-38
-9.797979797979798,-1.717171717171718,0.000698039940178874,7.835188938120213e-38
-9.797979797979798,-1.5151515151515156,0.001108789473728889,1.4752994276890669e-37
-9.797979797979798,-1.3131313131313131,0.0016601417101017272,2.5663057689365593e-37
-9.797979797979798,-1.1111111111111107,0.002344257974850813,4.124327811593167e-37
-9.797979797979798,-0.9090909090909101,0.0031233505821663793,6.123942624846529e-37
-9.797979797979798,-0.7070707070707076,0.003927735936708587,8.401489113540976e-37
-9.797979797979798,-0.5050505050505052,0.004663221320634767,1.064976531269793e-36
-9.797979797979798,-0.30303030303030276,0.005228007753650302,1.247357806371367e-36
-9.797979797979798,-0.10101010101010033,0.005535384297173931,1.3499419710640218e-36
-9.797979797979798,0.10101010101010033,0.005535384297173931,1.3499419710640218e-36
-9.797979797979798,0.30303030303030276,0.005228007753650302,1.247357806371367e-36
-9.797979797979798,0.5050505050505052,0.004663221320634767,1.064976531269793e-36
-9.797979797979798,0.7070707070707076,0.003927735936708587,8.401489113540976e-37
-9.797979797979798,0.9090909090909083,0.0031233505821663915,6.123942624846529e-37
-9.797979797979798,1.1111111111111107,0.002344257974850813,4.124327811593167e-37
-9.797979797979798,1.3131313131313131,0.0016601417101017272,2.5663057689365593e-37
-9.797979797979798,1.5151515151515156,0.001108789473728889,1.4752994276890669e-37
-9.797979797979798,1.7171717171717162,0.0006980399401788769,7.835188938120323e-38
-9.797979797979798,1.9191919191919187,0.00041394963737835305,3.8441029627886805e-38
-9.797979797979798,2.121212121212121,0.0002310438409328243,1.74218152224281e-38
-9.797979797979798,2.3232323232323235,0.00012125082353520747,7.293220494041712e-39
-9.797979797979798,2.525252525252524,5.975614169886051e-05,2.819978476920246e-39
-9.797979797979798,2.7272727272727266,2.7613746414370058e-05,1.0070340884067943e-39
-9.797979797979798,2.929292929292929,1.1942237459226668e-05,3.3211198635543496e-40
-9.797979797979798,3.1313131313131315,4.8218885779015555e-06,1.0114300451805128e-40
-9.797979797979798,3.333333333333334,1.8120652899557528e-06,2.844238689151225e-41
-9.797979797979798,3.5353535353535346,6.312301855905747e-07,7.384860929188535e-42
-9.797979797979798,3.737373737373737,2.0270904311002946e-07,1.7702366220907827e-42
-9.797979797979798,3.9393939393939394,5.9551970488291664e-08,3.9174121618467224e-43
-9.797979797979798,4.141414141414142,1.5826217198440184e-08,8.002250823187693e-44
-9.797979797979798,4.3434343434343425,3.73851082339927e-09,1.5088147857179651e-44
-9.797979797979798,4.545454545454545,7.616932774401224e-10,2.6256485669593834e-45
