# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'f_out': 173, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wIn1,wIn2,wIn3,wOut,wOutP,wOutS
-6.0,-4.787878787878788,4.271200015731457e-118,8.954106696844182e-57,1.2654334615792503e-38,7.530975642108765e-10,1.1168988468120762e-12,6.410732239781794e-94
-6.0,-4.666666666666666,4.98777441934566e-118,1.2588748496092997e-56,2.191341161791684e-38,9.36340426570983e-10,1.4403829677053121e-12,7.913370401731651e-94
-6.0,-4.545454545454545,5.801450589952368e-118,1.7544823170132229e-56,3.7416748598927053e-38,1.1576868838291356e-09,1.845481509841967e-12,9.71561686244282e-94
-6.0,-4.424242424242424,6.721083519147705e-118,2.423938407232768e-56,6.299520049145069e-38,1.4233878626371159e-09,2.3491405718517592e-12,1.1864086242374255e-93
-6.0,-4.303030303030303,7.755590798561261e-118,3.3197112573655427e-56,1.0457653455574458e-37,1.740324404947647e-09,2.9708169916369753e-12,1.4409643600318301e-93
-6.0,-4.181818181818182,8.913810177520113e-118,4.506975410207205e-56,1.711773886828664e-37,2.115982002668567e-09,3.732590781145388e-12,1.7407131615762366e-93
-6.0,-4.0606060606060606,1.020433661061238e-117,6.0656341522983985e-56,2.762764804633037e-37,2.558400524779386e-09,4.659211714970741e-12,2.0914920400340035e-93
-6.0,-3.9393939393939394,1.1635339806681306e-117,8.092326232177436e-56,4.396699659978035e-37,3.07609616547357e-09,5.778060671205664e-12,2.4994257995221524e-93
-6.0,-3.8181818181818183,1.3214364023781956e-117,1.0702289608553852e-55,6.899141494309983e-37,3.677952262471285e-09,7.1190056317021896e-12,2.970840323655902e-93
-6.0,-3.696969696969697,1.4948112637547454e-117,1.4030920433684517e-55,1.0674527766228717e-36,4.373076499821127e-09,8.714132547479228e-12,3.5121527911549153e-93
-6.0,-3.5757575757575757,1.6842220820810443e-117,1.8234832193286012e-55,1.6284996051994934e-36,5.170622934474194e-09,1.0597332792421412e-11,4.1297382035159545e-93
-6.0,-3.4545454545454546,1.8901020483174063e-117,2.3492191187848285e-55,2.4496949737621113e-36,6.0795784732184165e-09,1.2803731862173613e-11,4.8297724616473595e-93
-6.0,-3.333333333333333,2.1127302399904706e-117,3.0002084407484687e-55,3.633471279865694e-36,7.10851486334181e-09,1.5368948468092857e-11,5.618053231588363e-93
-6.0,-3.212121212121212,2.3522081176378332e-117,3.798266882392812e-55,5.313942117082402e-36,8.26530891618451e-09,1.8328179292338022e-11,6.499800966897734e-93
-6.0,-3.090909090909091,2.608436931207294e-117,4.7667861794062355e-55,7.662972629379243e-36,9.556835508128565e-09,2.1715112372046756e-11,7.4794436701019245e-93
-6.0,-2.9696969696969697,2.881096711113803e-117,5.93023648606771e-55,1.0895899688782548e-35,1.0988639829976504e-08,2.556068120951288e-11,8.56039022932169e-93
-6.0,-2.8484848484848486,3.1696275500637213e-117,7.313487103193448e-55,1.5276163059515083e-35,1.2564597296442262e-08,2.9891681968717375e-11,9.744798400017733e-93
-6.0,-2.727272727272727,3.473213893124649e-117,8.940939035335714e-55,2.111790547701112e-35,1.4286571380528076e-08,3.472928708536876e-11,1.103334464846409e-92
-6.0,-2.606060606060606,3.7907725422268835e-117,1.0835473983253576e-54,2.878543289167242e-35,1.615408128949922e-08,4.008749972456992e-11,1.24250040603469e-92
-6.0,-2.484848484848485,4.1209450453130614e-117,1.3017237844928692e-54,3.8688336402783574e-35,1.8163992730940783e-08,4.597160409084409e-11,1.3916849270328464e-92
-6.0,-2.3636363636363633,4.462095078555969e-117,1.5502291999597548e-54,5.127110919831892e-35,2.0310245911179467e-08,5.237667587145848e-11,1.5503877814771255e-92
-6.0,-2.242424242424242,4.812311342207865e-117,1.8301181669120172e-54,6.699628752890679e-35,2.2583635255469996e-08,5.928622428033068e-11,1.717887738591986e-92
-6.0,-2.121212121212121,5.169416377568225e-117,2.141748629415144e-54,8.632053623867856e-35,2.497165504849473e-08,6.667104148819591e-11,1.8932338120157772e-92
-6.0,-2.0,5.530981576223128e-117,2.4846430718169252e-54,1.09663698451698e-34,2.7458424199276445e-08,7.44883359764765e-11,2.075242025147337e-92
-6.0,-1.878787878787879,5.8943484961756555e-117,2.857364651638094e-54,1.3737161834886268e-34,3.002470160407242e-08,8.268122298316432e-11,2.2624984191682477e-92
