# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'omega_out': 1225.2211349000193, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
f1,f2,S,B
0.0,0.0,-0.0,-0.0
0.0,5.05050505050505,-0.0,0.0
0.0,10.1010101010101,-0.0,0.0
0.0,15.15151515151515,-0.0,0.0
0.0,20.2020202020202,-0.0,0.0
0.0,25.25252525252525,-0.0,0.0
0.0,30.3030303030303,-0.0,0.0
0.0,35.35353535353535,-0.0,0.0
0.0,40.4040404040404,-0.0,0.0
0.0,45.454545454545446,-0.0,0.0
0.0,50.5050505050505,-0.0,0.0
0.0,55.55555555555555,-0.0,0.0
0.0,60.6060606060606,-0.0,0.0
0.0,65.65656565656565,-0.0,0.0
0.0,70.7070707070707,-0.0,0.0
0.0,75.75757575757575,-0.0,0.0
0.0,80.8080808080808,-0.0,0.0
0.0,85.85858585858585,-0.0,0.0
0.0,90.90909090909089,-0.0,0.0
0.0,95.95959595959594,-0.0,0.0
0.0,101.010101010101,-0.0,0.0
0.0,106.06060606060605,-0.0,0.0
0.0,111.1111111111111,-0.0,0.0
0.0,116.16161616161614,-0.0,0.0
0.0,121.2121212121212,-0.0,0.0
0.0,126.26262626262626,-0.0,0.0
0.0,131.3131313131313,-0.0,0.0
0.0,136.36363636363635,-0.0,0.0
0.0,141.4141414141414,-0.0,0.0
0.0,146.46464646464645,-0.0,0.0
0.0,151.5151515151515,-0.0,0.0
0.0,156.56565656565655,-0.0,0.0
0.0,161.6161616161616,-0.0,0.0
0.0,166.66666666666666,-0.0,0.0
0.0,171.7171717171717,-0.0,0.0
0.0,176.76767676767676,-0.0,0.0
0.0,181.81818181818178,-0.0,0.0
0.0,186.86868686868686,-0.0,0.0
0.0,191.9191919191919,-0.0,0.0
0.0,196.96969696969697,-0.0,0.0
0.0,202.020202020202,-0.0,0.0
0.0,207.07070707070707,-0.0,0.0
0.0,212.1212121212121,-0.0,0.0
0.0,217.17171717171715,-0.0,0.0
0.0,222.2222222222222,-0.0,0.0
0.0,227.27272727272725,-0.0,0.0
0.0,232.32323232323228,-0.0,0.0
0.0,237.37373737373736,-0.0,0.0
0.0,242.4242424242424,-0.0,0.0
0.0,247.47474747474746,-0.0,0.0
0.0,252.5252525252525,-0.0,0.0
0.0,257.57575757575756,-0.0,0.0
0.0,262.6262626262626,-0.0,0.0
0.0,267.67676767676767,-0.0,0.0
0.0,272.7272727272727,-0.0,0.0
0.0,277.77777777777777,-0.0,0.0
0.0,282.8282828282828,-0.0,0.0
0.0,287.8787878787878,-0.0,0.0
0.0,292.9292929292929,-0.0,0.0
0.0,297.9797979797979,-0.0,0.0
0.0,303.030303030303,-0.0,0.0
0.0,308.080808080808,-0.0,0.0
0.0,313.1313131313131,-0.0,0.0
0.0,318.18181818181813,-0.0,0.0
0.0,323.2323232323232,-0.0,0.0
0.0,328.2828282828283,-0.0,0.0
0.0,333.3333333333333,-0.0,0.0
0.0,338.38383838383834,-0.0,0.0
0.0,343.4343434343434,-0.0,0.0
0.0,348.48484848484844,-0.0,0.0
0.0,353.5353535353535,-0.0,0.0
0.0,358.58585858585855,-0.0,0.0
0.0,363.63636363636357,-0.0,0.0
0.0,368.68686868686865,-0.0,0.0
0.0,373.73737373737373,-0.0,0.0
0.0,378.7878787878787,-0.0,0.0
0.0,383.8383838383838,-0.0,0.0
0.0,388.88888888888886,-0.0,0.0
0.0,393.93939393939394,-0.0,0.0
0.0,398.9898989898989,-0.0,0.0
0.0,404.040404040404,-0.0,0.0
0.0,409.09090909090907,-0.0,0.0
0.0,414.14141414141415,-0.0,0.0
0.0,419.19191919191917,-0.0,0.0
0.0,424.2424242424242,-0.0,0.0
0.0,429.2929292929293,-0.0,0.0
0.0,434.3434343434343,-0.0,0.0
0.0,439.3939393939394,-0.0,0.0
0.0,444.4444444444444,-0.0,0.0
0.0,449.4949494949494,-0.0,0.0
0.0,454.5454545454545,-0.0,0.0
0.0,459.5959595959596,-0.0,0.0
0.0,464.64646464646455,-0.0,0.0
0.0,469.69696969696963,-0.0,0.0
0.0,474.7474747474747,-0.0,0.0
0.0,479.7979797979798,-0.0,0.0
0.0,484.8484848484848,-0.0,0.0
0.0,489.89898989898984,-0.0,0.0
0.0,494.9494949494949,-0.0,0.0
0.0,499.99999999999994,-0.0,0.0
5.05050505050505,0.0,-0.0,-0.0
5.05050505050505,5.05050505050505,-1.928943743528441e-15,-0.0
5.05050505050505,10.1010101010101,-1.6805881743236147e-14,2.420422862467626e-16
5.05050505050505,15.15151515151515,-7.444444224189995e-14,6.681834511696687e-15
5.05050505050505,20.2020202020202,-2.3194374248221915e-13,4.753183307885228e-14
5.05050505050505,25.25252525252525,-5.807966472440669e-13,1.9220187440052516e-13
5.05050505050505,30.3030303030303,-1.2520766556206046e-12,5.680962308731893e-13
5.05050505050505,35.35353535353535,-2.419404366022266e-12,1.3742771714618035e-12
5.05050505050505,40.4040404040404,-4.299478988051537e-12,2.8912059277922195e-12
5.05050505050505,45.454545454545446,-7.150071934550841e-12,5.485950386394895e-12
5.05050505050505,50.5050505050505,-1.126549574201211e-11,9.612455991484638e-12
5.05050505050505,55.55555555555555,-1.6969677050125208e-11,1.5806701929768738e-11
5.05050505050505,60.6060606060606,-2.4607071912467572e-11,2.4676798309621644e-11
5.05050505050505,65.65656565656565,-3.4531760442780835e-11,3.6888311125195416e-11
5.05050505050505,70.7070707070707,-4.7095141417885284e-11,5.314531992130778e-11
5.05050505050505,75.75757575757575,-6.263271240522129e-11,7.416790856825877e-11
5.05050505050505,80.8080808080808,-8.145046461280723e-11,1.0066695389580635e-10
5.05050505050505,85.85858585858585,-1.038114423368805e-10,1.333172031416124e-10
5.05050505050505,90.90909090909089,-1.2992301403915082e-10,1.727297141018216e-10
5.05050505050505,95.95959595959594,-1.5992537622109103e-10,2.194247684361978e-10
5.05050505050505,101.010101010101,-1.9388176389467498e-10,2.738063578304162e-10
5.05050505050505,106.06060606060605,-2.317707750154358e-10,3.361392858482493e-10
5.05050505050505,111.1111111111111,-2.73481133964154e-10,4.0652982854417785e-10
5.05050505050505,116.16161616161614,-3.1880912486722897e-10,4.849107593101088e-10
5.05050505050505,121.2121212121212,-3.6745882347709507e-10,5.710313746013939e-10
5.05050505050505,126.26262626262626,-4.190451509447504e-10,6.64452964926164e-10
5.05050505050505,131.3131313131313,-4.730996685564704e-10,7.645499683884993e-10
5.05050505050505,136.36363636363635,-5.29078933623379e-10,8.705168311337297e-10
5.05050505050505,141.4141414141414,-5.863751470675188e-10,9.813803891993604e-10
5.05050505050505,146.46464646464645,-6.443287461610449e-10,1.0960173880345846e-09
5.05050505050505,151.5151515151515,-7.022425339995997e-10,1.2131765770180234e-09
5.05050505050505,156.56565656565655,-7.593968925268822e-10,1.3315046632654635e-09
5.05050505050505,161.6161616161616,-8.150655993738133e-10,1.4495752871060056e-09
5.05050505050505,166.66666666666666,-8.685317607220059e-10,1.565920094516084e-09
5.05050505050505,171.7171717171717,-9.191033823567486e-10,1.6790609316170473e-09
5.05050505050505,176.76767676767676,-9.661281278321377e-10,1.7875421735136148e-09
5.05050505050505,181.81818181818178,-1.0090068543987687e-09,1.889962223161834e-09
