# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
1584848.4848484849,170,-7.05429918439502,2.2822129795627935,1.7715043880271129,1.7338622097966958
1634343.4343434344,170,-7.522825619182393,2.4337854305312643,1.7701333469360767,1.7325228712502851
1683838.383838384,170,-8.020346753028464,2.594738250091342,1.7689209456843276,1.731338633419562
1733333.3333333335,170,-8.548780146828165,2.765691787409829,1.7678489979903325,1.730291687490577
1782828.282828283,170,-9.110162504421417,2.9473049367194206,1.7669013607601987,1.7293662316438407
1832323.2323232323,170,-9.706657522520127,3.140277676848476,1.7660637151278489,1.7285482545826514
1881818.1818181819,170,-10.34056423009439,3.3453537691002695,1.7653233681463791,1.7278253398054804
1931313.1313131314,170,-11.01432584936013,3.56332362387998,1.764669073984678,1.7271864893810673
1980808.080808081,170,-11.730539212520302,3.795027347118068,1.7640908732829503,1.7266219658142836
2030303.0303030305,170,-12.491964770554178,4.041357978231625,1.7635799492341344,1.7261231505262438
2079797.9797979798,170,-13.301537232630794,4.303264932103567,1.7631284989470397,1.725682417477504
2129292.9292929294,170,-14.162376877153408,4.581757658345846,1.7627296186847436,1.7252930205128416
2178787.878787879,170,-15.07780157803029,4.877909531950278,1.7623772016396697,1.724948993082638
2228282.8282828284,170,-16.051339592524023,5.19286199032255,1.7620658469919679,1.724645059087258
2277777.777777778,170,-17.086743159966435,5.527828932644344,1.761790779091481,1.7243765536886362
2327272.7272727275,170,-18.188002963751934,5.884101398519878,1.7615477756999403,1.7241393530324705
2376767.676767677,170,-19.359363512349,6.263052543939322,1.7613331043249794,1.7239298119211275
2426262.6262626266,170,-20.605339498611798,6.666142933737664,1.761143465768873,1.723744708569646
2475757.575757576,170,-21.930733200444582,7.0949261709473745,1.7609759441009591,1.7235811956637261
2525252.525252525,170,-23.34065298988484,7.551054884741638,1.7608279623427547,1.7234367570186775
2574747.474747475,170,-24.840533021943745,8.03628710004715,1.7606972432285302,1.7233091692118296
2624242.4242424243,170,-26.43615417908887,8.552493013376328,1.760581774471461,1.7231964676278664
2673737.373737374,170,-28.13366635209438,9.101662200994635,1.760479778026712,1.7230969164172185
2723232.3232323234,170,-29.939612143133953,9.685911287204876,1.7603896828981154,1.7230089819224368
2772727.272727273,170,-31.86095208247376,10.307492102303932,1.7603101010849742,1.72293130917666
2822222.2222222225,170,-33.90509145595648,10.96880036165437,1.7602398063102347,1.7228627011224216
2871717.171717172,170,-36.07990884667521,11.672384899322225,1.760177715211386,1.7228021002385243
2921212.1212121216,170,-38.39378650084427,12.42095749186948,1.7601228707112246,1.7227485722979488
2970707.070707071,170,-40.85564263490312,13.217403310164379,1.7600744273176168,1.7227012920111426
3020202.02020202,170,-43.47496580837275,14.064792039493222,1.7600316381298269,1.7226595303370353
3069696.9696969697,170,-46.26185149494558,14.966389710833207,1.7599938433543465,1.7226226432689415
3119191.9191919193,170,-49.22704099276206,15.925671288886653,1.7599604601556598,1.7225900619246335
3168686.868686869,170,-52.38196282384316,16.946334065393888,1.759930973687395,1.722561283789458
3218181.8181818184,170,-55.73877678224144,18.032311909345555,1.7599049291670512,1.7225358649787412
3267676.767676768,170,-59.31042080068316,19.18779042901819,1.759881924873267,1.7225134134011744
3317171.7171717174,170,-63.11066081633533,20.41722310427072,1.7598616059585055,1.7224935827185242
3366666.666666667,170,-67.15414382789223,21.7253484512797,1.7598436589824509,1.7224760670090886
3416161.6161616165,170,-71.45645434847586,23.117208285870053,1.7598278070823312,1.7224605960530794
3465656.565656566,170,-76.03417447193232,24.598167155832414,1.7598138057060948,1.722446931167549
3515151.5151515156,170,-80.90494778403384,26.173933017123534,1.7598014388429455,1.7224348615269114
3564646.4646464647,170,-86.08754736491424,27.850579233640833,1.7597905156933586,1.7224242009125041
3614141.414141414,170,-91.60194814483651,29.634567985363223,1.7597808677273792,1.722414784841229
3663636.3636363638,170,-97.46940389216505,31.53277517507818,1.7597723460859953,1.7224064680290887
3713131.3131313133,170,-103.71252913027625,33.55251692969204,1.7597648192856155,1.7223991221506147
3762626.262626263,170,-110.35538629913003,35.701577798265035,1.7597581711903083,1.7223926338596698
3812121.2121212124,170,-117.42357849744617,37.98824075545306,1.7597522992206094,1.7223869030411785
3861616.161616162,170,-124.9443481629315,40.42131912599605,1.7597471127713127,1.7223818412668392
3911111.1111111115,170,-132.94668207089916,43.01019055329793,1.759742531813873,1.7223773704310417
3960606.060606061,170,-141.4614230559648,45.76483314302033,1.7597384856618947,1.7223734215459658
4010101.0101010106,170,-150.52138888742053,48.69586392099532,1.759734911880678,1.7223699336772942
4059595.9595959596,170,-160.16149875646354,51.81457975368412,1.7597317553240315,1.722366853004131
4109090.909090909,170,-170.41890786278776,55.13300088889774,1.759728967283487,1.7223641319886478
4158585.8585858587,170,-181.3331506192632,58.66391728459508,1.759726504736819,1.722361728642638
4208080.808080808,170,-192.94629302665416,62.42093790432163,1.7597243296842677,1.7223596058796848
4257575.757575758,170,-205.3030948056565,66.41854316928371,1.7597224085622427,1.7223577309429405
4307070.707070707,170,-218.4511819111505,70.67214076922036,1.7597207117254596,1.7223560748996984
